序号,提交答卷时间,time,来源,来源详情,来自IP,,sex,age,education,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,8、接上题，小明一百道单选题里蒙对了25道题。你觉得他蒙的水平,TF_random_guess,coin_head,illness bad,illness good
1,4/20/2021 20:27,90秒,微信,N/A,117.136.64.111(四川-成都),,0,2,4,3,40,50,45,2,55,50,愿意,愿意
2,4/20/2021 20:31,200秒,微信,N/A,222.197.72.176(四川-成都),,0,2,4,3,40,45,50,3,75,65,愿意,非常愿意
3,4/20/2021 20:33,97秒,微信,N/A,222.197.70.158(四川-成都),,0,2,4,2,45,50,45,2,35,75,不愿意,愿意
4,4/20/2021 20:33,132秒,微信,N/A,222.197.71.40(四川-成都),,0,2,4,3,25,45,25,3,50,50,无所谓,非常愿意
5,4/20/2021 20:34,31秒,微信,N/A,222.197.70.154(四川-成都),,0,2,4,3,10,5,10,4,20,10,愿意,愿意
6,4/20/2021 20:35,55秒,微信,N/A,222.197.73.226(四川-成都),,0,2,4,2,0,0,10,3,0,10,愿意,愿意
7,4/20/2021 20:36,103秒,微信,N/A,117.136.64.55(四川-成都),,1,2,4,2,50,50,25,3,50,50,无所谓,无所谓
8,4/20/2021 20:37,209秒,微信,N/A,39.144.100.147(吉林-长春),,0,2,4,1,50,50,25,1,20,50,不愿意,不愿意
9,4/20/2021 20:38,161秒,微信,N/A,222.197.71.245(四川-成都),,0,2,4,3,10,30,35,3,55,45,不愿意,非常愿意
10,4/20/2021 20:39,79秒,微信,N/A,222.197.70.71(四川-成都),,0,2,4,1,0,30,20,2,50,50,不愿意,愿意
11,4/20/2021 20:40,178秒,手机提交,直接访问,223.104.253.39(广东-广州),,1,3,4,3,5,25,5,2,15,25,无所谓,无所谓
12,4/20/2021 20:42,94秒,微信,N/A,118.115.60.60(四川-成都),,1,2,4,3,5,15,10,3,15,10,愿意,无所谓
13,4/20/2021 20:42,158秒,微信,N/A,171.219.69.117(四川-成都),,1,3,4,1,0,50,10,3,50,50,无所谓,无所谓
14,4/20/2021 20:44,80秒,微信,N/A,223.104.214.27(四川-宜宾),,0,3,4,2,20,40,60,3,30,20,无所谓,不愿意
15,4/20/2021 20:45,102秒,微信,N/A,117.136.64.105(四川-成都),,1,2,4,2,50,50,50,3,50,50,无所谓,无所谓
16,4/20/2021 20:48,99秒,手机提交,直接访问,106.61.27.48(云南-昆明),,0,2,4,3,50,50,30,3,50,50,愿意,愿意
17,4/20/2021 20:49,103秒,微信,N/A,222.197.70.145(四川-成都),,1,2,4,4,20,55,25,3,45,40,愿意,愿意
18,4/20/2021 20:50,333秒,微信,N/A,117.136.64.108(四川-成都),,0,2,4,3,25,55,35,2,25,55,愿意,愿意
19,4/20/2021 20:50,54秒,微信,N/A,222.197.71.129(四川-成都),,0,2,4,3,30,30,40,2,45,55,愿意,非常愿意
20,4/20/2021 20:51,115秒,手机提交,直接访问,39.129.3.154(云南-昆明),,0,2,4,3,50,50,25,3,50,50,愿意,无所谓
21,4/20/2021 21:05,71秒,微信,N/A,222.197.70.81(四川-成都),,1,2,4,3,35,45,35,3,45,50,愿意,愿意
22,4/20/2021 21:39,112秒,微信,N/A,39.144.141.75(四川-自贡),,0,2,4,2,35,45,45,1,65,55,愿意,无所谓
23,4/20/2021 21:40,53秒,微信,N/A,117.136.62.73(四川-成都),,0,2,4,3,20,50,25,3,45,50,无所谓,无所谓
24,4/20/2021 21:41,39秒,微信,N/A,117.136.62.11(四川-成都),,1,2,4,4,35,40,85,2,35,30,无所谓,愿意
25,4/20/2021 21:41,56秒,微信,N/A,222.197.73.140(四川-成都),,0,2,4,1,5,50,50,2,50,50,愿意,愿意
26,4/20/2021 22:43,338秒,微信,N/A,223.99.197.200(山东-济南),,0,2,4,3,50,25,25,3,50,50,愿意,无所谓
27,4/21/2021 9:28,47秒,手机提交,直接访问,223.104.217.75(四川-未知),,0,2,4,4,20,50,25,3,45,45,不愿意,非常愿意
28,4/21/2021 9:29,40秒,手机提交,直接访问,222.197.72.54(四川-成都),,0,2,4,3,45,40,35,3,55,45,无所谓,无所谓
29,4/21/2021 9:30,144秒,手机提交,直接访问,61.157.159.24(四川-乐山),,0,2,4,3,25,50,25,3,50,50,不愿意,愿意
30,4/21/2021 9:37,77秒,手机提交,直接访问,171.219.6.148(四川-成都),,1,2,4,2,50,50,25,3,50,50,愿意,愿意
31,4/21/2021 9:40,127秒,手机提交,直接访问,39.144.105.87(北京-北京),,0,2,4,3,50,50,20,3,50,60,无所谓,愿意
32,4/21/2021 9:53,87秒,手机提交,直接访问,220.197.235.146(云南-昆明),,1,6,4,2,50,50,25,3,50,50,无所谓,无所谓
33,4/21/2021 10:10,123秒,手机提交,直接访问,14.108.53.146(重庆-重庆),,0,2,4,2,30,40,15,3,40,40,无所谓,无所谓
34,4/21/2021 10:13,42秒,手机提交,直接访问,223.104.218.20(四川-成都),,1,2,4,1,5,50,50,3,35,55,无所谓,无所谓
35,4/21/2021 10:14,295秒,手机提交,直接访问,106.61.196.154(云南-昆明),,1,3,4,1,50,50,25,3,50,50,愿意,愿意
36,4/21/2021 12:13,53秒,手机提交,直接访问,111.9.174.125(四川-南充),,0,2,4,1,50,50,25,3,50,50,不愿意,愿意
37,4/21/2021 15:08,41秒,手机提交,直接访问,117.136.15.41(四川-成都),,1,2,4,3,50,50,25,3,50,50,无所谓,无所谓
38,4/21/2021 15:13,93秒,微信,N/A,221.192.179.92(河北-石家庄),,0,2,4,1,50,50,25,3,50,50,愿意,愿意
39,4/21/2021 15:19,34秒,手机提交,直接访问,124.238.157.120(河北-廊坊),,1,1,1,2,10,10,40,1,90,0,愿意,非常愿意
40,4/21/2021 16:04,316秒,微信,N/A,221.192.179.24(河北-石家庄),,0,2,4,3,0,50,25,4,50,50,愿意,愿意
41,4/21/2021 16:06,68秒,手机提交,直接访问,223.104.102.72(河北-张家口),,0,2,4,3,50,50,25,3,50,50,无所谓,愿意
42,4/21/2021 19:40,483秒,微信,N/A,221.192.179.73(河北-石家庄),,0,2,4,3,0,50,30,3,40,40,无所谓,无所谓
