序号,提交答卷时间,所用时间,来源,来源详情,来自IP,备注,sex,age,education,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,illness bad,illness good,previous survey filled
2,4/6/2021 11:12,218秒,微信,N/A,223.104.241.30(云南-未知),杨凤,0,2,4,4,5,,5,3,,,,,0
3,4/6/2021 11:19,51秒,微信,N/A,223.104.241.191(云南-未知),,0,3,4,3,30,,40,3,,,,,0
4,4/6/2021 11:20,65秒,微信,N/A,117.136.72.140(云南-昆明),,1,4,5,3,25,,55,3,,,,,0
5,4/6/2021 11:20,94秒,微信,N/A,183.225.229.116(云南-丽江),,0,4,2,5,40,,35,3,,,,,0
6,4/6/2021 11:30,79秒,微信,N/A,117.136.85.71(云南-昆明),,1,3,4,1,20,,15,4,,,,,0
7,4/6/2021 11:32,207秒,微信,N/A,223.104.238.81(云南-大理),,1,7,3,3,5,,5,3,,,,,0
8,4/6/2021 11:36,85秒,微信,N/A,39.129.48.6(云南-大理),,0,2,4,3,5,,25,3,,,,,0
9,4/6/2021 11:37,68秒,微信,N/A,106.57.112.84(云南-昆明),,0,2,4,3,40,,30,2,,,,,0
10,4/6/2021 11:37,80秒,微信,N/A,39.130.121.182(云南-昆明),,1,2,4,3,55,,10,4,,,,,0
11,4/6/2021 11:37,93秒,微信,N/A,223.104.240.158(云南-未知),,1,2,3,4,5,,5,4,,,,,0
12,4/6/2021 11:38,133秒,微信,N/A,106.61.156.12(云南-昆明),,0,2,4,3,15,,20,4,,,,,0
13,4/6/2021 11:38,50秒,微信,N/A,14.204.0.193(云南-昆明),,0,2,4,2,15,,55,2,,,,,0
14,4/6/2021 11:38,43秒,微信,N/A,223.104.14.15(山西-太原),,0,3,4,4,25,,35,1,,,,,0
15,4/6/2021 11:39,172秒,微信,N/A,39.144.146.230(云南-普洱),,0,2,4,2,50,,65,1,,,,,0
16,4/6/2021 11:39,51秒,微信,N/A,39.129.18.42(云南-昆明),,1,2,4,4,25,,35,4,,,,,0
17,4/6/2021 11:40,39秒,微信,N/A,219.151.37.50(西藏-拉萨),,1,2,4,3,25,,25,1,,,,,0
18,4/6/2021 11:40,53秒,微信,N/A,117.136.7.230(黑龙江-哈尔滨),,0,2,4,2,45,,20,2,,,,,0
19,4/6/2021 11:40,159秒,微信,N/A,117.136.72.56(云南-昆明),,0,5,2,5,5,,5,5,,,,,0
20,4/6/2021 11:41,69秒,微信,N/A,220.164.161.129(云南-曲靖),,0,2,4,3,25,,25,3,,,,,0
21,4/6/2021 11:41,38秒,微信,N/A,117.136.72.58(云南-昆明),,0,2,4,3,5,,5,3,,,,,0
22,4/6/2021 11:41,71秒,微信,N/A,117.136.80.225(云南-玉溪),,1,4,3,1,10,,30,3,,,,,0
23,4/6/2021 11:42,225秒,微信,N/A,223.104.45.90(福建-泉州),,1,5,2,3,10,,85,2,,,,,0
24,4/6/2021 11:45,79秒,微信,N/A,119.62.124.128(云南-昆明),,0,2,4,3,10,,5,3,,,,,0
25,4/6/2021 11:46,103秒,微信,N/A,39.128.183.192(云南-普洱),,0,2,4,3,30,,55,3,,,,,0
26,4/6/2021 11:48,106秒,微信,N/A,39.128.182.196(云南-普洱),,0,2,4,4,15,,20,3,,,,,0
27,4/6/2021 11:48,81秒,微信,N/A,117.136.72.77(云南-昆明),,0,3,4,3,30,,40,2,,,,,0
28,4/6/2021 11:49,28秒,微信,N/A,117.136.72.117(云南-昆明),,1,2,4,3,5,,0,5,,,,,0
29,4/6/2021 11:51,48秒,微信,N/A,39.128.183.187(云南-普洱),,0,2,4,2,10,,30,3,,,,,0
30,4/6/2021 11:56,218秒,微信,N/A,223.104.238.237(云南-大理),,1,5,2,4,20,,20,1,,,,,0
31,4/6/2021 11:56,65秒,微信,N/A,119.62.124.134(云南-昆明),,1,2,4,3,50,,25,3,,,,,0
32,4/6/2021 11:56,130秒,微信,N/A,39.144.148.88(云南-未知),,1,5,4,3,50,,60,3,,,,,0
33,4/6/2021 11:58,104秒,微信,N/A,180.130.10.25(云南-昆明),,1,3,4,3,50,,25,3,,,,,0
34,4/6/2021 11:58,58秒,微信,N/A,180.130.2.66(云南-昆明),,0,2,4,3,10,,20,3,,,,,0
35,4/6/2021 11:59,86秒,微信,N/A,39.128.183.71(云南-普洱),,1,2,4,3,20,,25,3,,,,,0
36,4/6/2021 11:59,61秒,微信,N/A,39.128.182.74(云南-普洱),,0,2,4,1,45,,35,3,,,,,0
37,4/6/2021 12:00,201秒,微信,N/A,39.129.3.151(云南-昆明),,0,2,4,3,15,,35,3,,,,,0
38,4/6/2021 12:00,115秒,微信,N/A,117.136.72.100(云南-昆明),,1,2,4,5,55,,55,2,,,,,0
39,4/6/2021 12:01,104秒,微信,N/A,223.104.238.61(云南-大理),,1,2,4,3,20,,25,4,,,,,0
40,4/6/2021 12:02,134秒,微信,N/A,39.128.182.74(云南-普洱),,0,2,4,2,0,,25,3,,,,,0
41,4/6/2021 12:02,61秒,微信,N/A,39.144.191.177(湖南-郴州),,0,2,4,3,25,,20,3,,,,,0
42,4/6/2021 12:02,133秒,微信,N/A,106.61.229.129(云南-昆明),,0,2,4,4,50,,25,3,,,,,0
43,4/6/2021 12:03,76秒,微信,N/A,106.61.245.162(云南-昆明),,0,2,4,1,50,,35,4,,,,,0
44,4/6/2021 12:06,274秒,微信,N/A,180.130.2.102(云南-昆明),,0,2,4,4,20,,20,3,,,,,0
45,4/6/2021 12:07,72秒,微信,N/A,112.114.121.94(云南-临沧),,1,4,4,1,50,,25,3,,,,,0
46,4/6/2021 12:09,59秒,微信,N/A,106.61.228.245(云南-昆明),,0,2,4,3,30,,40,3,,,,,0
47,4/6/2021 12:11,225秒,微信,N/A,117.136.80.234(云南-玉溪),,1,3,2,3,60,,40,5,,,,,0
48,4/6/2021 12:12,45秒,微信,N/A,39.128.183.132(云南-普洱),,0,3,4,3,15,,25,3,,,,,0
49,4/6/2021 12:12,69秒,微信,N/A,39.128.183.192(云南-普洱),,0,2,4,1,45,,35,3,,,,,0
50,4/6/2021 12:12,67秒,微信,N/A,223.104.241.122(云南-未知),,0,2,4,1,50,,25,3,,,,,0
