lon,lat,sex,education,age,sex_divining_ability,sex_random_guess,boy_number,abcd_random_guess,abcd_guessing_ability,TF_random_guess,coin_head,random ID,sex_divining_ability_reordered
120.5137939,31.84680176,1,6,4,1,50,50,25,3,50,50,51539,5
80.19210815,13.0579071,0,5,4,4,65,70,60,5,60,60,85898,2
-88.75730133,44.39289856,0,5,8,1,50,50,20,2,40,50,49502,5
80.19210815,13.0579071,0,5,4,3,75,75,75,3,15,85,36104,3
-73.87239838,40.76229858,1,4,3,3,5,,10,4,5,15,47385,3
-49.25639343,-16.6802063,1,4,3,1,50,50,30,1,30,50,24803,5
80.19210815,13.0579071,1,5,4,4,80,75,75,4,80,60,17407,2
-97.8219986,37.75100708,0,5,8,4,20,35,85,4,70,75,53521,2
11.11610413,46.07209778,1,5,8,3,35,40,70,2,40,50,69896,3
-76.93520355,38.94889832,0,4,9,4,25,45,35,2,35,50,27239,2
12.10969543,43.14790344,1,5,10,2,40,40,30,3,30,40,97137,4
12.51260376,41.897995,0,3,7,3,40,45,40,2,45,50,54307,3
-75.05339813,42.46170044,0,3,6,2,45,50,40,3,30,35,11018,4
-51.938797,-23.42619324,1,4,4,3,40,70,35,4,35,55,64290,3
8.629501343,50.10490417,1,6,4,4,50,30,35,4,60,65,38815,2
0.536193848,50.854599,0,4,4,3,30,45,25,2,45,60,90931,3
-79.89499664,39.83940125,1,4,9,1,50,50,25,1,50,50,38704,5
76.97009277,11.01019287,0,5,5,3,30,35,10,2,30,20,98630,3
-34.86309814,-7.115005493,1,4,5,2,60,40,30,3,35,50,91355,4
-79.62960052,43.57519531,1,4,6,2,40,45,20,2,40,55,55332,4
-76.69799805,39.12690735,0,4,7,2,50,50,25,2,50,50,72550,4
9.138198853,45.53450012,1,3,11,2,5,40,10,3,5,50,71820,4
80.19210815,13.0579071,0,4,5,4,75,60,20,4,35,30,78358,2
-80.03780365,40.32139587,0,3,4,1,50,50,25,3,50,50,38839,5
-0.580596924,44.84120178,0,4,10,2,60,60,40,3,60,60,90129,4
-76.18340302,43.11149597,0,3,6,3,25,45,10,4,20,40,13113,3
-82.27590179,27.80439758,1,3,6,3,5,40,45,3,40,45,59992,3
-115.1364975,36.10079956,1,5,10,4,50,55,50,3,50,50,38398,2
9.219894409,45.50500488,1,4,10,4,40,45,40,2,45,50,62114,2
-81.73809814,41.03900146,0,4,7,3,50,35,60,2,50,40,26598,3
77.23098755,28.68580627,1,5,4,4,70,25,60,3,20,70,72221,2
-73.57029724,45.49940491,1,5,4,1,50,50,5,2,20,50,44805,5
-96.87039948,32.81370544,0,4,4,4,55,65,60,3,70,65,46916,2
-48.5579071,-21.25010681,1,5,4,3,55,55,60,2,50,50,42316,3
80.19210815,13.0579071,0,5,4,4,40,60,30,3,55,35,67642,2
-87.63829803,41.90319824,0,4,4,1,50,50,25,1,50,50,25379,5
-38.52870178,-3.716995239,0,6,4,3,50,50,25,3,50,50,93272,3
77.23098755,28.68580627,1,5,9,5,30,50,20,4,40,50,19598,1
-97.8219986,37.75100708,1,4,7,2,40,35,45,3,25,20,23910,4
76.97009277,11.01019287,1,4,4,3,20,25,75,3,40,25,32684,3
-74.05999756,40.78759766,1,5,3,5,25,35,60,5,55,50,77516,1
76.03921509,10.813797,0,4,6,2,40,65,25,3,40,70,13415,4
24.7322998,59.43299866,1,4,8,2,50,50,25,4,50,50,41635,4
-84.53250122,38.00120544,0,4,6,3,50,50,50,2,25,50,43904,3
-84.59529877,34.07470703,1,4,6,3,30,30,35,4,55,40,56480,3
76.9414978,8.477493286,0,1,6,5,10,0,0,5,0,0,52605,1
11.33169556,45.51750183,1,4,3,2,20,50,50,2,25,50,35404,4
-99.42500305,35.41229248,1,4,10,3,50,50,25,3,50,50,28907,3
-81.30490112,43.01469421,0,4,10,1,50,50,25,3,50,50,79985,5
27.6000061,47.16670227,0,5,5,1,50,50,25,3,25,50,20681,5
-71.18360138,42.39349365,1,4,4,1,50,50,40,2,40,50,54546,5
-73.99040222,40.73590088,1,5,4,4,45,65,40,2,35,35,74468,2
78.47439575,17.37530518,1,5,4,3,80,65,80,3,55,75,33765,3
-80.10939789,40.76089478,0,4,6,2,50,50,25,2,50,50,37177,4
80.19210815,13.0579071,1,3,5,4,30,25,55,3,35,75,18069,2
80.91149902,26.87559509,1,4,3,3,50,50,50,2,50,50,12685,3
-118.4008026,33.88989258,1,4,12,2,50,50,25,2,50,50,79032,4
-86.27529907,43.94769287,0,4,9,3,50,50,40,1,40,45,76200,3
22.94549561,40.6381073,1,4,4,2,50,50,25,2,50,50,31693,4
-77.09999847,38.85740662,1,5,6,1,50,55,15,3,50,50,28382,5
-0.578903198,53.05830383,0,4,8,4,50,50,25,3,30,50,15960,2
-40.30830383,-20.13020325,0,5,3,5,60,40,40,2,35,45,94279,1
-88.30310059,36.60890198,1,4,6,1,50,50,25,3,50,50,66523,5
-82.10870361,41.37219238,0,3,9,3,40,55,60,2,40,45,72925,3
-78.65859985,33.83410645,0,4,7,2,70,45,55,2,25,55,90019,4
80.19210815,13.0579071,1,5,3,5,90,90,80,4,80,90,74561,1
-97.8219986,37.75100708,1,4,3,3,10,20,65,3,70,65,61235,3
-78.77940369,35.76069641,1,5,12,2,50,50,25,2,25,50,56316,4
13.5124054,38.0789032,0,5,6,3,40,40,30,2,60,55,66138,3
79.13250732,12.918396,1,6,7,3,30,50,25,2,40,55,45509,3
-114.2002029,51.13909912,1,4,5,2,50,50,25,2,50,50,11203,4
80.19210815,13.0579071,1,4,7,3,50,45,30,2,50,50,35892,3
-86.86530304,36.10929871,1,4,4,1,25,45,25,3,50,50,12706,5
9.219894409,45.50500488,0,4,4,3,50,50,50,2,25,50,23742,3
-97.05239868,30.4190979,1,5,6,3,25,60,55,3,70,45,59868,3
-118.2440033,34.05439758,0,6,10,4,85,55,65,3,60,55,66788,2
80.19210815,13.0579071,0,5,6,3,40,65,35,1,40,65,31350,3
-77.0522995,38.80780029,1,5,12,1,50,50,25,3,25,50,57459,5
-89.14769745,30.59609985,0,4,9,3,50,40,25,3,50,50,52810,3
-72.62460327,43.72839355,0,5,12,3,50,45,35,3,50,50,44384,3
80.19210815,13.0579071,1,5,6,3,40,60,30,5,40,40,45581,3
-44.08070374,-19.88290405,1,4,4,1,40,40,40,1,40,50,43814,5
-122.580101,47.53289795,1,4,8,1,0,45,0,1,0,0,75387,5
